"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=%20Felidae&cc=SOA,GT"
"Access Time","Wed 2017-02-22 13:14:32 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name"," Felidae"
"","cc","SOA,GT"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0511"
"Records Found","98"
"Records Returned","98"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"731810","occ","","","78577","Smilodon populator","species","51618","","Smilodon populator","species","51618","Lujanian","","0.781","0.012","26422"
"837043","occ","","","92814","Smilodon populator","species","51618","","Smilodon populator","species","51618","Pleistocene","Holocene","2.588","0","31331"
"841088","occ","","","93235","Smilodon populator","species","51618","","Smilodon populator","species","51618","Late Pleistocene","Holocene","0.126","0","31515"
"1012546","occ","","","123831","Smilodon populator","species","51618","","Smilodon populator","species","51618","Pleistocene","","2.588","0.0117","39739"
"1074840","occ","","","133630","Smilodon sp.","genus","41079","","Smilodon","genus","41079","Middle Pleistocene","Late Pleistocene","0.781","0.0117","43044"
"1074877","occ","","","133644","Felis platensis","species","247633","","Felis platensis","species","247633","Pleistocene","","2.588","0.0117","43044"
"1074878","occ","","","133644","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","43044"
"1074879","occ","","","133644","Smilodon sp.","genus","41079","","Smilodon","genus","41079","Pleistocene","","2.588","0.0117","43044"
"1087317","occ","","","136420","Leopardus pardalis","species","47513","","Leopardus pardalis","species","46525","Late Pleistocene","Holocene","0.126","0","43594"
"1087320","occ","","","136498","Smilodon populator","species","51618","","Smilodon populator","species","51618","Late Pleistocene","Holocene","0.126","0","43594"
"1087321","occ","","","136498","Leopardus pardalis","species","47513","","Leopardus pardalis","species","46525","Late Pleistocene","Holocene","0.126","0","43594"
"1087322","occ","","","136498","Puma concolor","species","51265","","Puma concolor","species","46513","Late Pleistocene","Holocene","0.126","0","43594"
"1087323","occ","","","136498","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","Holocene","0.126","0","43594"
"1087326","occ","","","136499","Smilodon populator","species","51618","","Smilodon populator","species","51618","Late Pleistocene","Holocene","0.126","0","43594"
"1087330","occ","","","71313","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","Holocene","0.126","0","43594"
"1089561","occ","","","92814","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","Holocene","2.588","0","43780"
"1089562","occ","","","92814","Leopardus braccatus","species","251952","","Leopardus braccatus","species","251952","Pleistocene","Holocene","2.588","0","43780"
"1115208","occ","","","141367","Puma concolor","species","51265","","Puma concolor","species","46513","Late Pleistocene","","0.126","0.0117","45971"
"1115209","occ","","","141367","Panthera onca","species","49735","","Panthera onca","species","46524","Late Pleistocene","","0.126","0.0117","45971"
"1118505","occ","","","142016","Felis platensis","species","247633","","Felis platensis","species","247633","Early Pleistocene","","2.588","0.781","46109"
"1118506","occ","","","142016","Smilodon neogaeus","species","264380","subjective synonym of","Smilodon populator","species","51618","Early Pleistocene","","2.588","0.781","46109"
"1119339","occ","","","142158","Felidae indet.","family","41045","","Felidae","family","41045","Late Pleistocene","","0.126","0.0117","46178"
"1119340","occ","","","142158","Smilodon sp.","genus","41079","","Smilodon","genus","41079","Late Pleistocene","","0.126","0.0117","46178"
"1137414","occ","","","144977","Homotherium n. sp. venezuelensis","species","268531","","Homotherium venezuelensis","species","268531","Early Pleistocene","Middle Pleistocene","2.588","0.126","46869"
"1137415","occ","","","144977","Smilodon gracilis","species","51615","","Smilodon gracilis","species","51615","Early Pleistocene","Middle Pleistocene","2.588","0.126","46869"
"1139436","occ","","","144976","Smilodon sp.","genus","41079","","Smilodon","genus","41079","Late Pleistocene","","0.126","0.0117","46836"
"1139437","occ","","","144976","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Late Pleistocene","","0.126","0.0117","46836"
"1142037","occ","","","145500","Panthera sp.","genus","41066","","Panthera","genus","41066","Lujanian","","0.781","0.012","46859"
"1142038","occ","","","145500","Smilodon sp.","genus","41079","","Smilodon","genus","41079","Lujanian","","0.781","0.012","46859"
"1153831","occ","","","147609","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","Holocene","2.588","0","47532"
"1153832","occ","","","147609","Smilodon populator","species","51618","","Smilodon populator","species","51618","Pleistocene","Holocene","2.588","0","47532"
"1155366","occ","","","147999","Smilodon bonaerensis","species","41079","species not entered","Smilodon","genus","41079","Ensenadan","","1.2","0.781","47573"
"1155367","occ","","","147999","Smilodontidion sp.","genus","41080","subjective synonym of","Smilodon","genus","41079","Ensenadan","","1.2","0.781","47573"
"1155368","occ","","","147999","Smilodon ensenadenis","species","41079","species not entered","Smilodon","genus","41079","Ensenadan","","1.2","0.781","47573"
"1155369","occ","","","147999","Smilodontidion riggi","species","41080","subjective synonym of, species not entered","Smilodon","genus","41079","Ensenadan","","1.2","0.781","47573"
"1155903","occ","","","147815","Panthera aff. onca","species","49735","","Panthera onca","species","46524","Pleistocene","Holocene","2.588","0","47558"
"1156363","occ","","","148309","Leopardus cf. tigrinus","species","224075","","Leopardus tigrinus","species","224074","Late Pleistocene","Holocene","0.126","0","47592"
"1156364","occ","","","148309","Smilodon populator","species","51618","","Smilodon populator","species","51618","Late Pleistocene","Holocene","0.126","0","47592"
"1156864","occ","","","148397","Smilodon populator","species","51618","","Smilodon populator","species","51618","Holocene","","0.0117","0","47605"
"1179080","occ","","","145508","Panthera onca","species","49735","","Panthera onca","species","46524","Pleistocene","","2.588","0.0117","46859"
"1179087","occ","","","145576","Puma sp.","genus","41073","","Puma","genus","41073","Pleistocene","","2.588","0.0117","46859"
"1179097","occ","","","146602","Felidae indet.","family","41045","","Felidae","family","41045","Pleistocene","","2.588","0.0117","46859"
"1190510","occ","","","153676","Smilodon sp.","genus","41079","","Smilodon","genus","41079","Late Pleistocene","","0.126","0.0117","49752"
