Species	Status	min_age	max_age
Tyto_alba	extinct	0.0117	0.126
Bubo_virginianus	extinct	0.0117	0.126
Speotyto_cunicularia	extinct	0.0117	0.126
Asio_flammeus	extinct	0.0117	0.126
Aegolius_gradyi	extinct	0.0117	0.126
Rallus_recessus	extinct	0.0117	0.126
Buteo_lineatus	extinct	0.0117	2.588
Buteo_lineatus	extinct	0.0117	2.588
Caracara_creightoni	extinct	0.0117	2.588
Columba	extant	0.0117	2.588
Columba	extant	0.0117	2.588
Zenaida	extant	0.0117	2.588
Tyto	extant	0.0117	2.588
Tyto_alba	extinct	0.0117	2.588
Glaucidium_dickinsoni	extinct	0.0117	2.588
Otus_providentiae	extinct	0.0117	2.588
Bathoceleus_hyphalus	extinct	0.0117	2.588
Melanerpes	extinct	0.0117	2.588
Corvus_wetmorei	extinct	0.0117	2.588
Agelaius_phoeniceus	extinct	0.012	0.3
Xanthocephalus_xanthocephalus	extinct	0.012	0.3
Euphagus	extinct	0.012	0.3
Quiscalus_mexicanus	extinct	0.012	0.3
Pandanaris_convexa	extinct	0.012	0.3
Molothrus_ater	extinct	0.012	0.3
Molothrus	extinct	0.012	0.3
Icterus	extinct	0.012	0.3
Puffinus_lherminieri	extant	0	0.126
Buteo_jamaicensis	extant	0	0.126
Fulica_podagrica	extant	0	0.126
Aechmophorus_occidentalis	extinct	0.0117	2.588
Podiceps	extinct	0.0117	2.588
Phoenicopterus_copei	extinct	0.0117	2.588
Fulica_americana	extinct	0.0117	2.588
Phalacrocorax	extant	0	0.0117
Fulmarus_glacialis	extant	0	0.0117
Sula	extinct	5.333	7.246
Sula	extinct	7.246	11.62
Sula_magna	extinct	5.333	7.246
Sula_sulita	extinct	5.333	7.246
Sula	extinct	7.246	11.62
Morus_peruvianus	extinct	5.333	7.246
Podiceps_caspicus	extinct	0.0117	2.588
Aechmophorus_occidentalis	extinct	0.0117	2.588
Podilymbus_podiceps	extinct	0.0117	2.588
Phalacrocorax_goletensis	extinct	0.0117	2.588
