"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","environment","tectonic_setting","geology_comments"
"617928","occ","","","13079","Fulmarus","genus","39698","Messinian","","7.246","5.333","40374","Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus","","","-74.719719","-15.580833","PE","","","stated in text","seconds","local area","Sud-Sacaco, southern coast of Peru, 550 km south of Lima, approximately km 543 of the Pan-American Highway (de Muizon, 1981).\r\n\r\nCoordinates of Sud-Sacaco from Olivier et al 2013\r\n\r\nThough originally thought to date to the Early Pliocene [74], recent work assigned Sud-Sacaco to the Late Miocene (7.1–5.9 Ma, Messinian) based on 87Sr/86Sr dating [167]. (Marx & Fordyce, 2015)","gp_mid","-73.17","-15.20","201","Pisco","","","bed","","","","","","","","See Muizon and de Vries (1985). Basal most Pliocene. A tuff layer from the Sacaco level, above the Sud-Sacaco level, has been dated radiometrically (K/Ar) to 3.9 Myr (de Muizon & Bellon, 1980, 1986). Ehret et al (2012) updated the age to Messinian (5.93 Sr isotopes) rather than Zanclean.","foreshore","","SAS (Montemar) horizon. Shore environment with beaches and reefs exposed to marine currents. High sedimentation rate, shallow-to-deep shelf, upwelling"
"617931","occ","","","13079","Sula","genus","36639","Messinian","","7.246","5.333","18990","Chordata","Aves","Pelecaniformes","Sulidae","Sula","","","-74.719719","-15.580833","PE","","","stated in text","seconds","local area","Sud-Sacaco, southern coast of Peru, 550 km south of Lima, approximately km 543 of the Pan-American Highway (de Muizon, 1981).\r\n\r\nCoordinates of Sud-Sacaco from Olivier et al 2013\r\n\r\nThough originally thought to date to the Early Pliocene [74], recent work assigned Sud-Sacaco to the Late Miocene (7.1–5.9 Ma, Messinian) based on 87Sr/86Sr dating [167]. (Marx & Fordyce, 2015)","gp_mid","-73.17","-15.20","201","Pisco","","","bed","","","","","","","","See Muizon and de Vries (1985). Basal most Pliocene. A tuff layer from the Sacaco level, above the Sud-Sacaco level, has been dated radiometrically (K/Ar) to 3.9 Myr (de Muizon & Bellon, 1980, 1986). Ehret et al (2012) updated the age to Messinian (5.93 Sr isotopes) rather than Zanclean.","foreshore","","SAS (Montemar) horizon. Shore environment with beaches and reefs exposed to marine currents. High sedimentation rate, shallow-to-deep shelf, upwelling"
"624995","occ","","","55602","Anhinga","genus","39686","Tortonian","","11.62","7.246","19222","Chordata","Aves","Pelecaniformes","Anhingidae","Anhinga","","","-66.879440","-10.116389","BR","Acre","","estimated from map","seconds","","This is a very large area, and needs to be split up. See Cozzuol 2006.","gp_mid","-64.57","-9.70","201","Solimoes","","","formation","","","","","","","","","fluvial-deltaic indet.","",""
"624996","occ","","","55602","Anhinga","genus","39686","Tortonian","","11.62","7.246","19222","Chordata","Aves","Pelecaniformes","Anhingidae","Anhinga","","","-66.879440","-10.116389","BR","Acre","","estimated from map","seconds","","This is a very large area, and needs to be split up. See Cozzuol 2006.","gp_mid","-64.57","-9.70","201","Solimoes","","","formation","","","","","","","","","fluvial-deltaic indet.","",""
"624997","occ","","","55602","Anhinga grandis","species","53340","Tortonian","","11.62","7.246","19222","Chordata","Aves","Pelecaniformes","Anhingidae","Anhinga","","","-66.879440","-10.116389","BR","Acre","","estimated from map","seconds","","This is a very large area, and needs to be split up. See Cozzuol 2006.","gp_mid","-64.57","-9.70","201","Solimoes","","","formation","","","","","","","","","fluvial-deltaic indet.","",""
"627140","occ","","","67634","Phalacrocorax bougainvillii","species","90130","Piacenzian","","3.6","2.588","19301","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","","","-74.536667","-15.671667","PE","Arequipa","","estimated from map","seconds","","","gp_mid","-73.83","-15.45","201","Pisco","","","","","","","","","","","","marine indet.","",""
"627141","occ","","","67634","Phalacrocorax","genus","39689","Piacenzian","","3.6","2.588","19301","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","","","-74.536667","-15.671667","PE","Arequipa","","estimated from map","seconds","","","gp_mid","-73.83","-15.45","201","Pisco","","","","","","","","","","","","marine indet.","",""
"639049","occ","","","55535","Sula","genus","36639","Messinian","","7.246","5.333","19852","Chordata","Aves","Pelecaniformes","Sulidae","Sula","","","-70.841667","-27.080833","CL","Atacama","","estimated from map","seconds","outcrop","near Caldera","gp_mid","-69.47","-26.75","291","Bahia Inglesa","","","group of beds","","","","","","","","latest Miocene (Canto et al, 2008)","lagoonal/restricted shallow subtidal","","lagoonal/restricted shallow subtidal, submarine canyon, upper continental slope to outer shelf"
"639050","occ","","","55535","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","19852","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","","","-70.841667","-27.080833","CL","Atacama","","estimated from map","seconds","outcrop","near Caldera","gp_mid","-69.47","-26.75","291","Bahia Inglesa","","","group of beds","","","","","","","","latest Miocene (Canto et al, 2008)","lagoonal/restricted shallow subtidal","","lagoonal/restricted shallow subtidal, submarine canyon, upper continental slope to outer shelf"
"639052","occ","","","55535","Diomedea","genus","39693","Messinian","","7.246","5.333","19852","Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea","","","-70.841667","-27.080833","CL","Atacama","","estimated from map","seconds","outcrop","near Caldera","gp_mid","-69.47","-26.75","291","Bahia Inglesa","","","group of beds","","","","","","","","latest Miocene (Canto et al, 2008)","lagoonal/restricted shallow subtidal","","lagoonal/restricted shallow subtidal, submarine canyon, upper continental slope to outer shelf"
"654915","occ","","","70705","Podiceps","genus","39553","Holocene","","0.0117","0","19694","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","","","-63.066666","-20.750000","BO","Chuquisaca","","based on nearby landmark","seconds","","Between Carandaiti and Capiranda","gp_mid","-63.07","-20.75","201","Nuapua","","middle","","","","","","","","","","terrestrial indet.","",""
"654916","occ","","","70705","Podiceps","genus","39553","Holocene","","0.0117","0","19694","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","","","-63.066666","-20.750000","BO","Chuquisaca","","based on nearby landmark","seconds","","Between Carandaiti and Capiranda","gp_mid","-63.07","-20.75","201","Nuapua","","middle","","","","","","","","","","terrestrial indet.","",""
